东便头街三巷,1号之二,101房
临海坊街,13号,101房
临海坊街,24号,101房
临海坊街,24号,202房
临海坊街,24号,301房
磨地社街,2号,101房
磨地社街,2号,102房
南毫街四巷,2号,101房
南毫街四巷,2号,102房
人民路,100号,101房
人民路,104号,101房
人民路,104号,102房
人民路,106号,101房
人民路,106号,102房
人民路,108号,101房
人民路,108号,102房
人民路,108号,103房
人民路,108号,104房
人民路,112号,101房
人民路,112号,102房
人民路,116号之一,101房
人民路,118号,101房
人民路,118号,102房
人民路,120号,101房
人民路,121号,101房
人民路,121号,102房
人民路,122号,101房
人民路,124号,101房
人民路,124号,102房
人民路,124号,201房
人民路,124号,301房
人民路,124号,302房
人民路,124号,303房
人民路,124号,305房
人民路,124号,306房
人民路,124号,308房
人民路,125号,103房
人民路,126号,101房
人民路,126号之二,101房
人民路,127号,101房
人民路,127号,103房
人民路,128号,101房
人民路,129号,101房
人民路,129号,102房
人民路,131号,101房
人民路,133号,101房
人民路,133号,102房
人民路,136号,101铺
人民路,136号,102房
人民路,136号,103房
人民路,136号,104房
人民路,136号,105房
人民路,136号,106房
人民路,136号,107房
人民路,136号,202房
人民路,136号,203房
人民路,136号,204房
人民路,136号,205房
人民路,136号,206房
人民路,136号,207房
人民路,136号,302房
人民路,136号,303房
人民路,136号,304房
人民路,136号,305房
人民路,136号,401房
人民路,136号,402房
人民路,136号,405房
人民路,136号,406房
人民路,136号,407房
人民路,137号,101房
人民路,138号,101房
人民路,139号,101房
人民路,141号,101房
人民路,143号,101房
人民路,145号,101房
人民路,147号,101房
人民路,149号,101房
人民路,151号,101房
人民路,155号,101房
人民路,155号,102房
人民路,157号,101房
人民路,157号,102房
人民路,159号,102房
人民路,159号,103房
人民路,159号,104房
人民路,161号,101房
人民路,163号,102房
人民路,165号,101房
人民路,165号,102房
人民路,167号,101房
人民路,169号,101房
人民路,175号,101房
人民路,177号,101房
人民路,179号,101房
人民路,179号,102房
人民路,179号,103房
人民路,179号,104房
人民路,181号,101房
人民路,183号,101房
人民路,183号,102房
人民路,185号,101房
人民路,187号,101房
人民路,187号,102房
人民路,189号,101房
人民路,191号,101房
人民路,191号,102房
人民路,195号,101房
人民路,197号,101房
人民路,199号,101房
人民路,199号,102房
人民路,199号,103房
人民路,201号,101房
人民路,201号,102房
人民路,201号,103房
人民路,201号,105房
人民路,203号,102房
人民路,203号之八,101房
人民路,203号之二,101房
人民路,203号之二,102房
人民路,203号之六,101房
人民路,203号之六,102房
人民路,203号之三,101房
人民路,203号之四,101房
人民路,203号之四,102房
人民路,203号之五,101房
人民路,203号之五,102房
人民路,203号之一,101房
人民路,207号,101房
人民路,207号,102房
人民路,209号,101房
人民路,209号,102房
人民路,209号,103房
人民路,211号,102房
人民路,92号,101房
人民路,94号,101房
人民路,94号,102房
人民路,94号,103房
万字街,1号,101房
下田居六巷,1号,101房
下田居三巷,2号,101房
下田居十巷,8号,101房
下田居五巷,1号,101房
下田居一巷,1号,101房
新六亩路,112号,101房
元地社大街,14号,101房
元地社大街,14号,102房
元地社大街,14号,201房
元地社大街,14号,202房
元地社大街二巷,5号,101房
元地社大街六巷,2号,101房
元地社大街六巷,8号之二,101房
元地社大街六巷,8号之二,201房
元地社大街六巷,8号之一,101房
元地社大街六巷,8号之一,102房
元地社大街六巷,8号之一,103房
元地社大街六巷,8号之一,201房